#Partner hier bedeutet die Partner, von denen der Agent Status Info bekommt.
#Handeltag;AgentName;Typ;Kommunikation;Beschreibung;Abschlag;MovingDays;RelativeGewinn;RelativeGewinnPozent;AbsoluteGewinn;AbsoluteGewinnPozent;PartnerName;Typ;AbschlagProzent;Movingsdays;RelativeGewinn;RelativeGewinnProzent;
00001;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
00002;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
00003;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
00004;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
00005;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
00006;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
00007;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
00008;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
00009;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
000010;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
000011;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
000012;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
000013;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
000014;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
000015;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
000016;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
000017;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
000018;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
000019;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
000020;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
000021;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
000022;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
000023;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
000024;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
000025;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
000026;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
000027;V15;BlankoAgent;Keine Kommunikation; Ich bin in InitState;
000028;V15;BlankoAgent;Keine Kommunikation; Entscheidung aus Wahrscheinlichkeit;
000029;V15;BlankoAgent;Keine Kommunikation; Entscheidung aus Wahrscheinlichkeit;
000030;V15;BlankoAgent;Ja, Wahrscheinlichkeit erlaubt;Changed to NoiseTrader;NA;NA;0;0,00;0;0,00;V14;NoiseTrader;0,00;37;216767,00;5,6789;
 ; ; ; ; ; ; ; ; ; ; ; V31;NoiseTrader;0,00;61;215758,00;6,1564;
 ; ; ; ; ; ; ; ; ; ; ; V17;BlankoAgent;0,00;0;0,00;0,00;
 ; ; ; ; ; ; ; ; ; ; ; V25;BlankoAgent;0,00;0;0,00;0,00;
 ; ; ; ; ; ; ; ; ; ; ; V9;BlankoAgent;0,00;0;0,00;0,00;
 ; ; ; ; ; ; ; ; ; ; ; V23;BlankoAgent;0,00;0;0,00;0,00;
 ; ; ; ; ; ; ; ; ; ; ; V22;BlankoAgent;0,00;0;0,00;0,00;
000031;V15;NoiseTrader;Keine Kommunikation; Entscheidung aus Wahrscheinlichkeit;
000032;V15;NoiseTrader;Keine Kommunikation; Entscheidung aus Wahrscheinlichkeit;
000033;V15;NoiseTrader;Keine Kommunikation; Entscheidung aus Wahrscheinlichkeit;
000034;V15;NoiseTrader;Ja, Wahrscheinlichkeit erlaubt;Schlechter_Counter 1< Individual Limit 2;NA;46;36;0,0065;36;0,0065;V17;BlankoAgent;0,00;0;0,00;0,00;
 ; ; ; ; ; ; ; ; ; ; ; V31;NoiseTrader;0,00;61;204028,00;5,7313;
 ; ; ; ; ; ; ; ; ; ; ; V14;NoiseTrader;0,00;37;204938,00;5,2921;
 ; ; ; ; ; ; ; ; ; ; ; V9;BlankoAgent;0,00;0;0,00;0,00;
 ; ; ; ; ; ; ; ; ; ; ; V25;NoiseTrader;0,00;20;0,00;0,00;
 ; ; ; ; ; ; ; ; ; ; ; V22;BlankoAgent;0,00;0;0,00;0,00;
 ; ; ; ; ; ; ; ; ; ; ; V23;BlankoAgent;0,00;0;0,00;0,00;
000035;V15;NoiseTrader;Keine Kommunikation; Entscheidung aus Wahrscheinlichkeit;
000036;V15;NoiseTrader;Ja, Wahrscheinlichkeit erlaubt;Schlechter_Counter 2>= Individual Limit 2 changed to NoiseTrader;NA;46;44;0,0079;44;0,0079;V14;NoiseTrader;0,00;37;188113,00;4,8305;
 ; ; ; ; ; ; ; ; ; ; ; V31;NoiseTrader;0,00;61;187278,00;5,229;
 ; ; ; ; ; ; ; ; ; ; ; V17;BlankoAgent;0,00;0;0,00;0,00;
